time,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
2026-07-10 00:00:00,10.3,15.5,245.0,14.2,4.8,33.0
2026-07-10 01:00:00,9.2,14.0,196.0,12.0,4.5,33.0
2026-07-10 02:00:00,8.2,12.4,161.0,10.4,4.3,33.0
2026-07-10 03:00:00,7.6,11.5,143.0,9.7,4.4,32.0
2026-07-10 04:00:00,7.4,11.3,138.0,9.6,4.7,30.0
2026-07-10 05:00:00,6.9,11.1,154.0,8.7,4.5,31.0
2026-07-10 06:00:00,6.7,10.7,212.0,8.9,4.5,31.0
2026-07-10 07:00:00,6.5,11.1,291.0,9.0,4.5,32.0
2026-07-10 08:00:00,7.7,14.5,335.0,8.6,4.3,36.0
2026-07-10 09:00:00,6.7,12.1,307.0,7.0,3.9,45.0
2026-07-10 10:00:00,6.8,13.0,245.0,4.8,3.3,57.0
2026-07-10 11:00:00,7.0,14.0,205.0,3.2,2.9,67.0
2026-07-10 12:00:00,7.2,14.5,195.0,2.4,2.6,74.0
2026-07-10 13:00:00,7.7,15.4,208.0,2.3,2.4,80.0
2026-07-10 14:00:00,7.8,16.1,271.0,3.7,2.5,80.0
2026-07-10 15:00:00,9.2,21.7,438.0,7.9,2.9,72.0
2026-07-10 16:00:00,10.1,19.8,656.0,13.7,3.4,60.0
2026-07-10 17:00:00,11.3,19.8,797.0,21.2,4.0,45.0
2026-07-10 18:00:00,12.2,19.4,798.0,23.0,4.8,42.0
2026-07-10 19:00:00,13.5,20.5,723.0,25.4,5.9,37.0
2026-07-10 20:00:00,14.1,21.5,632.0,26.4,6.6,33.0
2026-07-10 21:00:00,14.0,21.7,536.0,25.0,6.7,32.0
2026-07-10 22:00:00,13.5,20.5,426.0,22.2,6.4,31.0
2026-07-10 23:00:00,12.2,18.2,330.0,19.3,6.0,31.0
2026-07-11 00:00:00,10.2,15.5,258.0,16.5,5.4,31.0
2026-07-11 01:00:00,8.6,13.4,202.0,13.6,4.7,31.0
2026-07-11 02:00:00,7.6,12.3,163.0,11.3,4.2,31.0
2026-07-11 03:00:00,7.2,12.2,143.0,10.0,4.1,30.0
2026-07-11 04:00:00,7.0,12.8,141.0,9.3,4.2,29.0
2026-07-11 05:00:00,6.6,11.9,159.0,9.0,4.0,29.0
2026-07-11 06:00:00,7.1,14.2,217.0,9.1,4.0,29.0
2026-07-11 07:00:00,8.0,16.5,295.0,9.2,4.0,30.0
2026-07-11 08:00:00,8.6,18.7,340.0,8.7,3.9,33.0
2026-07-11 09:00:00,9.4,22.2,317.0,7.0,3.5,42.0
2026-07-11 10:00:00,10.7,28.2,260.0,4.8,3.0,54.0
2026-07-11 11:00:00,12.2,34.5,217.0,3.2,2.6,64.0
2026-07-11 12:00:00,13.3,37.8,204.0,2.6,2.4,70.0
2026-07-11 13:00:00,13.8,39.8,204.0,2.6,2.3,74.0
2026-07-11 14:00:00,14.8,42.5,213.0,3.2,2.3,76.0
2026-07-11 15:00:00,14.9,43.2,219.0,4.4,2.2,76.0
2026-07-11 16:00:00,14.5,39.8,232.0,6.1,2.2,73.0
2026-07-11 17:00:00,17.8,47.4,283.0,10.5,2.6,63.0
2026-07-11 18:00:00,18.3,39.3,420.0,15.3,3.6,55.0
2026-07-11 19:00:00,18.5,33.9,593.0,21.9,4.9,43.0
2026-07-11 20:00:00,17.3,29.3,684.0,26.0,5.8,34.0
2026-07-11 21:00:00,16.6,27.8,619.0,25.5,5.9,31.0
2026-07-11 22:00:00,14.7,23.1,472.0,22.7,5.7,30.0
2026-07-11 23:00:00,12.5,18.9,345.0,19.7,5.3,30.0
2026-07-12 00:00:00,10.6,16.2,274.0,17.2,4.9,30.0
2026-07-12 01:00:00,9.5,15.2,223.0,14.6,4.4,29.0
2026-07-12 02:00:00,8.9,15.1,187.0,12.6,4.0,29.0
2026-07-12 03:00:00,8.6,15.0,163.0,11.5,3.9,28.0
2026-07-12 04:00:00,8.4,14.8,154.0,10.9,4.0,26.0
2026-07-12 05:00:00,7.7,14.4,158.0,8.7,3.7,30.0
2026-07-12 06:00:00,7.8,14.5,185.0,8.2,3.8,31.0
2026-07-12 07:00:00,8.3,15.9,226.0,7.5,4.0,34.0
2026-07-12 08:00:00,8.6,19.3,248.0,6.6,4.0,39.0
2026-07-12 09:00:00,9.9,23.9,233.0,5.2,3.7,50.0
2026-07-12 10:00:00,11.2,28.2,201.0,3.7,3.3,63.0
2026-07-12 11:00:00,12.3,32.7,176.0,2.5,2.9,74.0
2026-07-12 12:00:00,13.0,35.0,168.0,2.0,2.6,80.0
2026-07-12 13:00:00,13.2,35.6,168.0,1.8,2.4,83.0
2026-07-12 14:00:00,13.6,35.9,174.0,2.0,2.2,84.0
2026-07-12 15:00:00,14.1,36.7,190.0,2.3,2.1,83.0
2026-07-12 16:00:00,14.3,35.7,212.0,2.9,2.1,80.0
2026-07-12 17:00:00,18.2,43.7,228.0,5.3,2.5,74.0
2026-07-12 18:00:00,18.9,39.2,231.0,7.7,3.2,68.0
2026-07-12 19:00:00,19.0,35.3,229.0,11.0,4.2,59.0
2026-07-12 20:00:00,17.2,30.0,226.0,13.0,4.9,52.0
2026-07-12 21:00:00,14.9,25.3,229.0,12.7,4.9,48.0
2026-07-12 22:00:00,13.7,23.5,232.0,11.2,4.6,45.0
2026-07-12 23:00:00,12.4,22.1,226.0,9.8,4.3,43.0
2026-07-13 00:00:00,11.2,20.9,201.0,8.9,4.0,40.0
2026-07-13 01:00:00,10.4,19.8,166.0,8.1,3.8,38.0
2026-07-13 02:00:00,9.5,18.2,141.0,7.5,3.6,36.0
2026-07-13 03:00:00,8.6,16.1,131.0,7.0,3.6,34.0
2026-07-13 04:00:00,7.6,14.0,130.0,6.6,3.7,33.0
2026-07-13 05:00:00,8.1,14.4,145.0,7.6,3.9,32.0
2026-07-13 06:00:00,8.1,13.9,191.0,7.7,4.0,33.0
2026-07-13 07:00:00,8.0,14.7,253.0,7.8,4.0,34.0
2026-07-13 08:00:00,8.6,18.3,289.0,7.4,4.0,39.0
2026-07-13 09:00:00,10.6,25.0,273.0,6.1,3.8,51.0
2026-07-13 10:00:00,12.7,30.7,231.0,4.3,3.4,66.0
2026-07-13 11:00:00,14.3,35.5,200.0,3.0,3.1,78.0
2026-07-13 12:00:00,15.3,38.9,193.0,2.5,2.8,84.0
2026-07-13 13:00:00,15.7,39.9,196.0,2.4,2.6,87.0
2026-07-13 14:00:00,16.1,39.7,209.0,2.9,2.5,88.0
2026-07-13 15:00:00,16.4,39.2,233.0,3.9,2.4,87.0
2026-07-13 16:00:00,16.5,38.3,265.0,5.5,2.5,84.0
2026-07-13 17:00:00,15.5,32.7,298.0,7.9,2.8,77.0
